category,score
interop-2021-transforms,976
interop-2022-scrolling,947
interop-2022-subgrid,720
interop-2023-color,952
interop-2023-contain,737
interop-2023-container,836
interop-2023-cssborderimage,828
interop-2023-cssmasking,856
interop-2023-events,466
interop-2023-flexbox,937
interop-2023-fonts,906
interop-2023-forms,856
interop-2023-grid,906
interop-2023-has,914
interop-2023-inert,815
interop-2023-mathfunctions,906
interop-2023-mediaqueries,896
interop-2023-modules,945
interop-2023-motion,715
interop-2023-offscreencanvas,910
interop-2023-property,826
interop-2023-pseudos,643
interop-2023-url,986
interop-2023-webcodecs,611
interop-2023-webcompat,590
interop-2023-webcomponents,925
