category,score
interop-2023-events,904
interop-2023-property,937
interop-2023-url,869
interop-2024-accessibility,964
interop-2024-dir,1000
interop-2024-dsd,1000
interop-2024-font-size-adjust,900
interop-2024-indexeddb,991
interop-2024-layout,998
interop-2024-nesting,1000
interop-2024-popover,1000
interop-2024-relative-color,197
interop-2024-scrollbar,1000
interop-2024-starting-style-transition-behavior,962
interop-2024-text-wrap,649
interop-2024-video-rvfc,1000
interop-2024-websockets,928
