category,score
interop-2023-events,805
interop-2023-property,1000
interop-2023-url,868
interop-2024-accessibility,850
interop-2024-dir,970
interop-2024-dsd,908
interop-2024-font-size-adjust,732
interop-2024-indexeddb,979
interop-2024-layout,751
interop-2024-nesting,724
interop-2024-popover,812
interop-2024-relative-color,197
interop-2024-scrollbar,509
interop-2024-starting-style-transition-behavior,637
interop-2024-text-wrap,589
interop-2024-video-rvfc,750
interop-2024-websockets,214
