category,score
interop-2026-anchor-positioning,685
interop-2026-attr,994
interop-2026-container-style-queries,894
interop-2026-contrast-color,440
interop-2026-custom-highlights,628
interop-2026-dialogs-and-popovers,998
interop-2026-fetch,606
interop-2026-indexeddb,750
interop-2026-jspi-for-wasm,1000
interop-2026-media-pseudo-classes,0
interop-2026-navigation,990
interop-2026-scoped-custom-element-registries,16
interop-2026-scroll-driven-animations,843
interop-2026-scroll-snap,825
interop-2026-shape,839
interop-2026-view-transitions,440
interop-2026-webcompat,888
interop-2026-webrtc,525
interop-2026-webtransport,174
interop-2026-zoom,964
