category,score
interop-2023-events,1000
interop-2024-layout,977
interop-2025-anchor-positioning,244
interop-2025-backdrop-filter,837
interop-2025-core-web-vitals,939
interop-2025-details,947
interop-2025-modules,1000
interop-2025-navigation,110
interop-2025-remove-mutation-events,1000
interop-2025-scope,843
interop-2025-scrollend,1000
interop-2025-storageaccess,1000
interop-2025-textdecoration,1000
interop-2025-urlpattern,1
interop-2025-view-transitions,655
interop-2025-webassembly,816
interop-2025-webcompat,999
interop-2025-webrtc,771
interop-2025-writingmodes,1000
