category,score
interop-2021-transforms,980
interop-2022-scrolling,938
interop-2022-subgrid,881
interop-2023-color,981
interop-2023-contain,731
interop-2023-container,837
interop-2023-cssborderimage,973
interop-2023-cssmasking,878
interop-2023-events,465
interop-2023-flexbox,935
interop-2023-fonts,935
interop-2023-forms,856
interop-2023-grid,905
interop-2023-has,915
interop-2023-inert,947
interop-2023-mathfunctions,878
interop-2023-mediaqueries,999
interop-2023-modules,945
interop-2023-motion,659
interop-2023-offscreencanvas,867
interop-2023-property,937
interop-2023-pseudos,882
interop-2023-url,965
interop-2023-webcodecs,637
interop-2023-webcompat,685
interop-2023-webcomponents,927
