category,score
interop-2023-events,848
interop-2024-layout,942
interop-2025-anchor-positioning,172
interop-2025-backdrop-filter,786
interop-2025-core-web-vitals,39
interop-2025-details,481
interop-2025-modules,830
interop-2025-navigation,7
interop-2025-remove-mutation-events,0
interop-2025-scope,780
interop-2025-scrollend,31
interop-2025-storageaccess,243
interop-2025-textdecoration,738
interop-2025-urlpattern,1
interop-2025-view-transitions,860
interop-2025-webassembly,0
interop-2025-webcompat,523
interop-2025-webrtc,712
interop-2025-writingmodes,194
