category,score
interop-2026-anchor-positioning,985
interop-2026-attr,126
interop-2026-container-style-queries,834
interop-2026-contrast-color,988
interop-2026-custom-highlights,673
interop-2026-dialogs-and-popovers,546
interop-2026-fetch,731
interop-2026-indexeddb,39
interop-2026-jspi-for-wasm,76
interop-2026-media-pseudo-classes,733
interop-2026-navigation,871
interop-2026-scoped-custom-element-registries,931
interop-2026-scroll-driven-animations,970
interop-2026-scroll-snap,559
interop-2026-shape,910
interop-2026-view-transitions,978
interop-2026-webcompat,555
interop-2026-webrtc,749
interop-2026-webtransport,644
interop-2026-zoom,939
